meal_prep_done,carpool_done,transit_done,grocery_spent,gas_spent,total_spent,target_savings
0,1,0,58.16,23.85,108.05,30.71
0,0,0,54.19,40.11,132.67,0.0
0,0,1,50.33,25.72,115.42,24.41
1,1,0,71.98,27.74,151.08,42.88
1,0,0,56.26,38.32,138.71,29.85
0,1,1,41.0,39.47,136.29,41.82
0,1,0,66.95,33.73,142.96,14.21
1,1,1,53.13,10.4,86.97,75.98
0,1,1,17.32,19.56,90.34,46.62
0,1,1,34.86,14.17,114.5,42.31
1,0,1,27.35,37.22,97.7,52.43
0,0,0,39.85,36.12,146.58,4.66
0,0,0,53.17,35.97,121.22,0.0
0,0,1,67.7,21.02,155.41,26.48
0,0,0,35.99,37.84,111.54,1.66
1,0,0,51.31,27.01,130.15,20.06
1,0,0,63.09,52.87,198.42,34.12
1,1,1,57.52,41.58,154.25,76.57
1,1,1,44.84,37.51,125.79,70.69
1,0,0,44.12,15.36,115.41,31.31
0,1,1,30.35,59.44,117.86,49.57
1,0,0,53.22,9.78,94.14,37.02
0,1,1,62.27,19.45,116.56,47.29
1,0,0,50.9,54.63,151.69,31.51
1,0,1,79.48,10.6,124.82,55.84
1,0,0,37.97,43.84,159.92,36.96
0,0,1,43.36,33.78,165.82,25.4
0,1,1,26.74,30.69,86.18,47.37
0,1,1,68.73,30.66,172.77,49.37
1,0,0,44.65,35.56,151.09,32.63
0,1,1,50.94,35.02,133.02,45.9
0,0,0,57.83,32.97,145.81,1.73
1,1,0,62.81,47.89,172.03,49.18
0,0,1,52.62,17.83,141.44,31.63
0,1,0,49.93,26.17,116.84,14.44
1,0,0,62.33,48.97,156.39,26.23
0,1,1,54.74,30.59,153.54,44.85
0,1,0,91.02,30.94,143.83,19.83
0,1,0,72.2,33.97,120.5,18.78
1,0,1,57.1,29.27,119.43,47.43
0,0,1,15.23,27.32,114.48,23.32
0,1,1,53.46,21.91,146.52,45.26
0,1,0,56.28,22.72,92.96,22.34
1,0,1,57.73,68.53,187.67,60.68
1,1,1,51.03,25.91,164.72,71.62
0,0,1,23.17,33.57,98.45,25.4
1,1,1,55.32,11.2,135.84,72.45
1,1,1,39.04,32.16,122.12,71.74
0,0,0,48.39,25.14,155.39,0.0
1,0,1,38.42,46.61,128.35,53.41
1,1,1,52.76,35.78,181.23,76.13
0,1,0,27.21,25.16,127.71,16.46
0,0,1,60.49,36.0,136.86,14.53
0,0,1,73.15,43.23,163.81,22.67
1,0,1,97.81,30.84,198.1,62.72
1,0,1,51.05,26.15,129.46,58.31
1,0,1,53.4,27.29,139.62,60.68
0,0,1,42.7,32.08,142.48,22.68
1,1,1,49.57,12.84,91.55,81.63
0,0,1,62.19,36.3,131.91,22.2
0,1,1,74.16,35.28,152.09,42.26
1,1,0,73.29,25.6,140.74,51.31
0,0,1,13.15,29.23,80.59,23.51
1,1,0,54.86,28.7,135.5,52.98
0,1,0,53.03,21.95,96.17,21.35
0,0,1,39.51,29.91,77.62,33.85
0,0,0,63.33,34.96,149.41,0.3
1,0,1,42.93,32.32,96.29,47.96
1,0,0,52.79,38.26,167.59,25.23
0,0,1,19.44,45.7,109.1,24.98
1,1,1,62.78,37.68,161.56,78.67
0,0,1,48.37,34.02,146.19,22.99
1,0,1,21.55,35.99,104.18,56.43
0,1,0,84.14,34.06,159.56,29.3
0,1,1,71.55,22.98,141.67,42.0
1,1,0,37.4,24.01,68.93,47.37
1,1,1,30.12,22.29,92.51,74.75
0,0,0,58.57,39.71,163.11,7.38
1,1,1,52.13,40.37,136.31,69.15
1,0,1,24.3,43.54,115.55,61.19
0,0,0,55.14,49.12,160.64,0.97
0,0,0,45.3,14.01,81.94,2.68
0,1,1,49.98,25.74,151.22,44.54
1,1,0,80.91,47.55,173.49,54.86
1,0,0,70.95,26.1,170.05,32.63
0,1,1,24.04,44.44,136.2,44.31
1,0,1,62.99,28.96,146.36,45.58
0,0,0,24.45,29.44,111.58,0.0
0,1,0,55.63,16.28,131.62,9.69
0,0,1,33.48,34.88,133.31,23.55
0,0,0,51.14,33.53,146.99,0.0
1,1,1,48.39,19.65,106.97,69.01
1,1,0,40.62,27.26,157.17,49.01
1,1,0,62.77,23.8,121.84,52.9
0,0,0,49.47,30.57,133.88,7.99
1,0,1,58.65,33.11,203.34,60.6
0,1,1,32.45,13.41,101.74,42.56
1,1,0,34.08,23.46,92.07,48.25
0,0,1,17.35,26.09,87.48,35.86
1,0,1,72.85,35.39,137.49,54.05
0,0,1,53.39,38.4,141.56,16.81
1,0,0,44.58,27.62,113.03,26.87
1,1,0,52.61,39.08,141.51,52.26
1,0,1,51.49,37.51,105.62,57.72
1,0,1,59.61,21.85,168.4,56.33
1,1,1,32.91,32.68,171.27,66.94
0,1,1,81.01,10.55,113.55,46.15
1,1,1,62.54,18.7,141.83,82.21
1,1,0,46.8,31.6,137.43,53.22
1,1,0,52.55,30.89,143.2,57.9
1,0,1,57.98,36.96,155.26,57.38
0,0,0,54.35,50.75,172.52,0.0
0,1,1,76.59,26.02,157.61,49.03
0,0,0,26.3,30.16,101.67,4.12
1,0,1,53.63,14.7,80.98,51.18
0,1,1,55.08,25.85,143.58,56.35
0,0,1,64.55,37.21,144.72,22.87
1,1,0,44.79,38.29,158.82,47.78
0,0,0,71.21,25.26,147.02,0.0
1,1,1,38.39,17.55,70.37,82.48
0,1,1,61.43,32.13,160.91,40.32
0,1,1,76.73,35.9,166.97,47.21
1,0,1,40.55,28.17,112.13,52.65
1,1,1,50.84,40.94,107.93,82.65
0,0,0,59.24,23.7,114.63,1.23
1,0,1,46.55,36.28,158.24,50.91
0,1,0,57.08,14.7,142.55,16.51
0,1,1,45.97,18.93,166.37,45.3
0,1,0,70.25,26.7,137.99,9.38
0,0,0,88.55,18.93,185.25,0.0
1,0,1,73.88,29.82,147.72,51.42
0,0,0,28.89,22.22,78.9,8.76
0,0,1,68.33,8.26,111.18,21.88
0,0,1,51.48,28.7,140.19,19.73
0,1,1,68.75,34.2,147.43,39.71
0,1,1,54.89,17.49,140.86,44.08
0,0,1,65.08,24.93,133.42,24.52
1,0,0,68.7,8.3,91.93,27.28
1,1,1,44.67,32.57,132.94,75.19
0,1,1,44.55,29.43,130.13,36.45
0,0,0,59.26,18.0,106.37,0.0
0,0,1,25.56,35.52,151.19,28.59
1,1,0,36.52,20.9,89.29,54.22
0,0,0,22.39,17.2,77.09,0.13
1,1,0,46.62,42.08,143.31,52.16
1,0,1,81.22,26.95,160.08,55.9
0,1,1,31.52,31.45,117.69,46.16
0,0,0,67.24,22.97,139.51,8.85
0,1,1,38.05,29.24,111.13,41.71
0,0,0,30.21,27.74,129.24,0.6
1,0,0,62.07,39.3,152.17,30.06
1,0,1,56.44,32.08,143.95,48.62
1,0,1,55.36,24.13,125.63,54.23
0,0,0,66.94,29.2,136.82,4.43
1,0,0,30.89,44.14,107.91,43.71
0,0,0,68.84,21.05,136.15,0.0
0,1,0,68.45,38.36,103.87,23.65
1,1,1,60.7,30.47,165.63,71.58
0,1,0,88.97,23.5,148.91,12.39
1,0,0,73.69,24.77,140.06,28.59
1,1,1,56.82,37.44,112.43,78.18
0,1,0,20.99,17.93,67.51,23.41
1,0,0,58.45,14.67,139.75,31.04
1,0,0,52.5,34.92,143.2,42.28
1,0,1,43.76,28.96,133.03,60.97
0,0,0,44.4,18.26,128.58,5.24
1,0,1,83.54,23.34,111.96,50.61
0,1,0,54.29,33.34,150.8,30.05
0,1,1,46.47,31.02,138.51,45.19
1,0,1,-2.21,21.3,93.2,56.72
1,1,1,66.56,31.33,151.03,83.66
1,1,1,62.31,35.07,168.71,80.85
0,0,1,52.92,28.41,130.5,27.78
0,0,1,44.45,21.66,102.32,27.47
1,1,1,37.84,38.62,139.51,65.54
1,0,1,59.68,51.63,155.16,56.1
1,0,1,67.8,27.64,121.72,53.01
0,0,1,52.63,34.09,132.99,22.98
